dataset,partition,threat,flip_rate,arm,final_acc,delta_acc,gap,recovery,rec_sd,auroc,false_excl_pairs,excl_precision,seeds,n_corrupt
fmnist,dir1,label_flip,0.7,flirds_gate_v2,0.8417500000000001,0.04883333333333336,0.04583333333333328,1.1410320530631752,0.34954103696883393,0.9534395017945224,1165.3333333333333,0.7887779802642395,3,44.666666666666664
fmnist,dir1,label_flip,0.7,flirds_gatew_v1,0.805875,0.01295833333333333,0.04583333333333328,0.22498367305258063,0.4416128744258141,1.0,190.0,0.7162579575197844,3,44.666666666666664
fmnist,dir1,label_flip,0.7,flirds_gatew_v2,0.8420416666666667,0.04912500000000001,0.04583333333333328,1.1867154456484852,0.47557712157744514,0.9641952402827002,1542.3333333333333,0.7465409165972624,3,44.666666666666664
fmnist,dir1,label_flip,0.7,flirds_mult,0.8080833333333333,0.015166666666666662,0.04583333333333328,0.1119964472562408,0.7728726247271204,0.9983881874214736,,,3,44.666666666666664
fmnist,dir1,label_flip,0.7,flirds_zgate_v2,0.8140416666666667,0.021124999999999988,0.04583333333333328,0.4390773315474626,0.6920223396967884,1.0,,,3,44.666666666666664
fmnist,dir1,label_flip,0.7,oracle_excl,0.83875,0.04583333333333328,0.04583333333333328,1.0,0.0,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.7,random_excl,0.7975416666666666,0.004624999999999953,0.04583333333333328,-0.21564869633777903,0.8509535303321113,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.7,vanilla,0.7929166666666667,0.0,0.04583333333333328,0.0,0.0,,,,3,44.666666666666664
fmnist,dir1,label_flip,,flirds_gate_v1,0.804375,-0.004583333333333346,0.029791666666666623,-0.13922211748298807,0.682855084916723,0.9998661849324234,195.66666666666666,0.711894425036915,3,44.666666666666664
fmnist,dir1,label_flip,,flirds_gate_v2,0.8413750000000001,0.032416666666666684,0.029791666666666623,0.9930269495486903,0.13756628614501895,0.9618310246788958,1372.3333333333333,0.7621790067296755,3,44.666666666666664
